"ID" "degree"
39502 "Biological Sciences"
27854 "Biological Sciences"
46107 "Biological Sciences"
2166 "Biological Sciences"
32613 "Biological Sciences"
20426 "Biological Sciences"
9562 "Biological Sciences"
46288 "Biological Sciences"
84038 "Biological Sciences"
49141 "Biological Sciences"
38755 "Biological Sciences"
53082 "Biological Sciences"
27686 "Biological Sciences"
96146 "Biological Sciences"
50132 "Biological Sciences"
44383 "Biological Sciences"
59458 "Biological Sciences"
38976 "Biological Sciences"
53827 "Biological Sciences"
39532 "Biological Sciences"
94306 "Biological Sciences"
27479 "Biological Sciences"
94982 "Biological Sciences"
78945 "Biological Sciences"
26848 "Biological Sciences"
78799 "Biological Sciences"
46358 "Biological Sciences"
79078 "Biological Sciences"
94160 "Biological Sciences"
35958 "Biological Sciences"
333 "Biological Sciences"
6669 "Biological Sciences"
82946 "Biological Sciences"
51292 "Biological Sciences"
82823 "Biological Sciences"
13403 "Biological Sciences"
26394 "Biological Sciences"
6968 "Biological Sciences"
72944 "Biological Sciences"
73521 "Biological Sciences"
97772 "Biological Sciences"
68598 "Biological Sciences"
94480 "Biological Sciences"
84674 "Biological Sciences"
3648 "Biological Sciences"
74858 "Biological Sciences"
20344 "Biological Sciences"
25068 "Biological Sciences"
86116 "Biological Sciences"
11826 "Biological Sciences"
27257 "Biological Sciences"
11832 "Biological Sciences"
