"ID" "degree"
58085 "Genetics"
34055 "Genetics"
76693 "Genetics"
51040 "Genetics"
11724 "Genetics"
32325 "Genetics"
10161 "Genetics"
3485 "Genetics"
79798 "Genetics"
86045 "Genetics"
7647 "Genetics"
68673 "Genetics"
95641 "Genetics"
90338 "Genetics"
91696 "Genetics"
81644 "Genetics"
56223 "Genetics"
51028 "Genetics"
91045 "Genetics"
5614 "Genetics"
92779 "Genetics"
3301 "Genetics"
6716 "Genetics"
59608 "Genetics"
26549 "Genetics"
58196 "Genetics"
95127 "Genetics"
71191 "Genetics"
54537 "Genetics"
13652 "Genetics"
93417 "Genetics"
55520 "Genetics"
25528 "Genetics"
41033 "Genetics"
62227 "Genetics"
52817 "Genetics"
93146 "Genetics"
70030 "Genetics"
22903 "Genetics"
20433 "Genetics"
34137 "Genetics"
68347 "Genetics"
89155 "Genetics"
14206 "Genetics"
34759 "Genetics"
94611 "Genetics"
24952 "Genetics"
45470 "Genetics"
